Simbol,Pret_CSV_2020,Pret_Real_API_2020,Trend_Real,Trend_Corect,Pred_1_Zi,Real_1_Zi,Eroare_1_Zi_%,Scor_1_Zi,Pred_1_Sapt,Real_1_Sapt,Eroare_1_Sapt_%,Scor_1_Sapt,Pred_1_Luna,Real_1_Luna,Eroare_1_Luna_%,Scor_1_Luna,Pred_1_An,Real_1_An,Eroare_1_An_%,Scor_1_An
CINF,73.57,63.0379,SCĂDERE,DA,73.9388,62.481,18.34,58.31,74.0278,69.4728,6.56,100.0,75.1755,52.2246,43.95,0.0,83.505,92.0277,9.26,100.0
OHI,24.54,14.8602,SCĂDERE,DA,24.6483,14.6361,68.41,0.0,24.6191,19.4503,26.57,17.13,25.118,16.801,49.5,0.0,29.2425,25.3721,15.25,73.73
VTGN,0.42,12.6,SCĂDERE,DA,0.4202,12.0,96.5,0.0,0.4214,14.1,97.01,0.0,0.4263,12.3,96.53,0.0,0.4785,65.7,99.27,0.0
LIVN,39.87,39.87,CREȘTERE,NU,40.3698,42.13,4.18,100.0,40.8152,48.13,15.2,74.01,41.3524,52.23,20.83,45.87,47.7643,73.44,34.96,0.0
TYL,291.58,291.58,SCĂDERE,DA,289.5233,280.34,3.28,100.0,288.2878,308.93,6.68,100.0,284.617,314.78,9.58,100.0,255.2768,431.82,40.88,0.0
BAP,133.88,114.1816,CREȘTERE,NU,133.775,116.5355,14.79,76.03,134.0424,124.5851,7.59,100.0,136.6845,127.518,7.19,100.0,155.8594,125.6632,24.03,29.85
MRLN,8.56,N/A,N/A,N/A,8.5861,N/A,N/A,N/A,8.5949,N/A,N/A,N/A,8.7612,N/A,N/A,N/A,9.9859,N/A,N/A,N/A
VRCA,9.02,90.2,CREȘTERE,NU,8.9942,96.8,90.71,0.0,9.0952,109.3,91.68,0.0,9.1517,109.9,91.67,0.0,10.0226,153.3,93.46,0.0
CCJ,7.75,7.6091,CREȘTERE,NU,7.7671,7.8938,1.6,100.0,7.826,8.8363,11.43,92.83,7.8418,10.1029,22.38,38.1,8.0808,17.0387,52.57,0.0
FUL,25.92,23.9225,CREȘTERE,NU,25.9026,24.6054,5.27,100.0,25.8264,27.928,7.53,100.0,26.3952,32.9965,20.01,49.97,31.2203,59.268,47.32,0.0
